office,state_po,district,special,ext_D,ext_R,scored_D,scored_R,ideology_gap,year
HOUSE,ME,1,False,0.375,0.391,True,True,0.016,2018
HOUSE,ME,2,False,0.0,-0.1049999999999999,False,True,-0.1049999999999999,2018
HOUSE,MI,1,False,0.0,0.1320000000000001,False,True,0.1320000000000001,2018
HOUSE,MI,2,False,0.0,-0.0549999999999999,False,True,-0.0549999999999999,2018
HOUSE,MI,3,False,0.0,0.092,False,True,0.092,2018
HOUSE,MI,4,False,0.0,-0.1049999999999999,False,True,-0.1049999999999999,2018
HOUSE,MI,5,False,0.01,0.0,True,False,-0.01,2018
HOUSE,MI,6,False,0.0,-0.2269999999999999,False,True,-0.2269999999999999,2018
HOUSE,MI,7,False,0.257,0.1659999999999999,True,True,-0.091,2018
HOUSE,MI,8,False,0.0,0.04,False,True,0.04,2018
HOUSE,MI,9,False,0.0,0.0,False,False,0.0,2018
HOUSE,MI,10,False,0.0,0.08,False,True,0.08,2018
HOUSE,MI,11,False,0.0,0.0,False,False,0.0,2018
HOUSE,MI,12,False,-0.173,0.0829999999999999,True,True,0.2559999999999999,2018
HOUSE,MI,13,False,0.0,,False,,0.0,2018
HOUSE,MI,14,False,-0.249,0.0,True,False,0.249,2018
HOUSE,MN,1,False,0.0,0.361,False,True,0.361,2018
HOUSE,MN,2,False,0.247,0.254,True,True,0.007,2018
HOUSE,MN,3,False,0.0,-0.0609999999999999,False,True,-0.0609999999999999,2018
HOUSE,MN,4,False,0.2319999999999999,0.391,True,True,0.159,2018
HOUSE,MN,5,False,0.0,0.0,False,False,0.0,2018
HOUSE,MN,6,False,0.0,0.0809999999999999,False,True,0.0809999999999999,2018
HOUSE,MN,7,False,-0.365,0.3249999999999999,True,True,0.69,2018
HOUSE,MN,8,False,0.0,0.0,False,False,0.0,2018
HOUSE,MO,1,False,-0.01,0.0,True,False,0.01,2018
HOUSE,MO,2,False,0.0,0.018,False,True,0.018,2018
HOUSE,MO,3,False,0.0,-0.0369999999999999,False,True,-0.0369999999999999,2018
HOUSE,MO,4,False,0.0,0.1919999999999999,False,True,0.1919999999999999,2018
HOUSE,MO,5,False,-0.22,0.443,True,True,0.663,2018
HOUSE,MO,6,False,0.0,-0.241,False,True,-0.241,2018
HOUSE,MO,7,False,0.0,0.0789999999999999,False,True,0.0789999999999999,2018
HOUSE,MO,8,False,0.0,0.042,False,True,0.042,2018
HOUSE,MS,1,False,0.0,0.0369999999999999,False,True,0.0369999999999999,2018
HOUSE,MS,2,False,-0.21,,True,,0.21,2018
HOUSE,MS,3,False,0.0,0.0,False,False,0.0,2018
HOUSE,MS,4,False,0.0,0.0509999999999999,False,True,0.0509999999999999,2018
HOUSE,MT,0,False,0.0,0.0,False,False,0.0,2018
HOUSE,NC,1,False,-0.1039999999999999,0.0,True,False,0.1039999999999999,2018
HOUSE,NC,2,False,0.0,-0.002,False,True,-0.002,2018
HOUSE,NC,3,False,,0.012,,True,0.012,2018
HOUSE,NC,4,False,0.263,0.0,True,False,-0.263,2018
HOUSE,NC,5,False,0.0,-0.0869999999999999,False,True,-0.0869999999999999,2018
HOUSE,NC,6,False,0.0,0.187,False,True,0.187,2018
HOUSE,NC,7,False,0.0,0.0649999999999999,False,True,0.0649999999999999,2018
HOUSE,NC,8,False,0.0,0.066,False,True,0.066,2018
HOUSE,NC,9,False,0.0,0.3349999999999999,False,True,0.3349999999999999,2018
HOUSE,NC,10,False,0.0,-0.1729999999999999,False,True,-0.1729999999999999,2018
HOUSE,NC,11,False,0.0,0.0849999999999999,False,True,0.0849999999999999,2018
HOUSE,NC,12,False,0.2179999999999999,0.0,True,False,-0.2179999999999999,2018
HOUSE,NC,13,False,0.0,0.2270000000000001,False,True,0.2270000000000001,2018
HOUSE,ND,0,False,0.0,0.0,False,False,0.0,2018
HOUSE,NE,1,False,0.0,0.024,False,True,0.024,2018
HOUSE,NE,2,False,0.0,0.1060000000000001,False,True,0.1060000000000001,2018
HOUSE,NE,3,False,0.0,0.042,False,True,0.042,2018
HOUSE,NH,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,NH,2,False,0.3429999999999999,0.0,True,False,-0.3429999999999999,2018
HOUSE,NJ,1,False,-0.47,0.0,True,False,0.47,2018
HOUSE,NJ,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,NJ,3,False,0.0,-0.491,False,True,-0.491,2018
HOUSE,NJ,4,False,0.0,-0.5509999999999999,False,True,-0.5509999999999999,2018
HOUSE,NJ,5,False,0.015,0.0,True,False,-0.015,2018
HOUSE,NJ,6,False,-0.229,0.0,True,False,0.229,2018
HOUSE,NJ,7,False,0.0,-0.358,False,True,-0.358,2018
HOUSE,NJ,8,False,-0.284,0.0,True,False,0.284,2018
HOUSE,NJ,9,False,-0.206,0.0,True,False,0.206,2018
HOUSE,NJ,10,False,-0.003,0.0,True,False,0.003,2018
HOUSE,NJ,11,False,0.0,0.0,False,False,0.0,2018
HOUSE,NJ,12,False,0.2149999999999999,0.0,True,False,-0.2149999999999999,2018
HOUSE,NM,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,NM,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,NM,3,False,-0.014,0.0,True,False,0.014,2018
HOUSE,NV,1,False,-0.055,0.0,True,False,0.055,2018
HOUSE,NV,2,False,0.0,-0.066,False,True,-0.066,2018
HOUSE,NV,3,False,-0.237,-0.0999999999999999,True,True,0.137,2018
HOUSE,NV,4,False,0.254,0.0,True,False,-0.254,2018
HOUSE,NY,1,False,0.0,-0.3009999999999999,False,True,-0.3009999999999999,2018
HOUSE,NY,2,False,0.0,-0.862,False,True,-0.862,2018
HOUSE,NY,3,False,-0.241,0.0,True,False,0.241,2018
HOUSE,NY,4,False,-0.259,0.0,True,False,0.259,2018
HOUSE,NY,5,False,-0.0869999999999999,,True,,0.0869999999999999,2018
HOUSE,NY,6,False,-0.21,,True,,0.21,2018
HOUSE,NY,7,False,0.155,,True,,-0.155,2018
HOUSE,NY,8,False,-0.201,,True,,0.201,2018
HOUSE,NY,9,False,0.0879999999999999,0.0,True,False,-0.0879999999999999,2018
HOUSE,NY,10,False,0.121,0.0,True,False,-0.121,2018
HOUSE,NY,11,False,0.0,-0.6779999999999999,False,True,-0.6779999999999999,2018
HOUSE,NY,12,False,-0.1129999999999999,0.0,True,False,0.1129999999999999,2018
HOUSE,NY,13,False,-0.003,0.0,True,False,0.003,2018
HOUSE,NY,14,False,0.0,0.0,False,False,0.0,2018
HOUSE,NY,15,False,0.0589999999999999,0.0,True,False,-0.0589999999999999,2018
HOUSE,NY,16,False,-0.417,,True,,0.417,2018
HOUSE,NY,17,False,0.027,,True,,-0.027,2018
HOUSE,NY,18,False,0.1879999999999999,0.0,True,False,-0.1879999999999999,2018
HOUSE,NY,19,False,0.0,-0.242,False,True,-0.242,2018
HOUSE,NY,20,False,0.0569999999999999,0.0,True,False,-0.0569999999999999,2018
HOUSE,NY,21,False,0.0,-0.279,False,True,-0.279,2018
HOUSE,NY,22,False,0.0,-0.0029999999999998,False,True,-0.0029999999999998,2018
HOUSE,NY,23,False,0.0,-0.4519999999999999,False,True,-0.4519999999999999,2018
HOUSE,NY,24,False,0.0,-0.4639999999999999,False,True,-0.4639999999999999,2018
HOUSE,NY,25,False,0.0,0.0,False,False,0.0,2018
HOUSE,NY,26,False,-0.363,0.0,True,False,0.363,2018
HOUSE,NY,27,False,0.0,-0.246,False,True,-0.246,2018
HOUSE,OH,1,False,0.0,0.0210000000000001,False,True,0.0210000000000001,2018
HOUSE,OH,2,False,0.0,-0.0329999999999999,False,True,-0.0329999999999999,2018
HOUSE,OH,3,False,-0.274,0.0,True,False,0.274,2018
HOUSE,OH,4,False,0.354,0.221,True,True,-0.1329999999999999,2018
HOUSE,OH,5,False,0.0,0.046,False,True,0.046,2018
HOUSE,OH,6,False,0.0,-0.263,False,True,-0.263,2018
HOUSE,OH,7,False,0.0,-0.279,False,True,-0.279,2018
HOUSE,OH,8,False,0.0,0.302,False,True,0.302,2018
HOUSE,OH,9,False,-0.0919999999999999,0.6970000000000001,True,True,0.789,2018
