year,state_po,district,incumbent,side,edge,edge_hindsight,prev_edge,first_term,same_district
2016,WA,8,DAVID G REICHERT,-1,17.778480584441525,20.624774512307063,19.68820359580878,1,1
2016,WA,9,ADAM SMITH,1,10.492436746800045,-1.532792390100436,10.60347854205156,1,1
2016,WA,10,DENNY HECK,1,5.972390228816739,7.842607214316521,2.280851866613844,1,1
2016,WI,1,PAUL RYAN,-1,28.0207348028975,22.645161514862707,13.940532451523177,1,1
2016,WI,2,MARK POCAN,1,3.5892370469254686,1.7942484566692833,7.145662383695003,1,1
2016,WI,5,F JAMES SENSENBRENNER JR,-1,10.889289687114186,14.738285224116886,6.784547867178633,1,1
2016,WI,6,GLENN GROTHMAN,-1,9.44790803976387,0.18103578168722478,0.42250504688222,1,1
2016,WI,7,SEAN P DUFFY,-1,16.02602544996774,-1.153867820503244,8.509379232823717,1,1
2016,WV,1,DAVID B MCKINLEY,-1,6.370513749410758,-9.13319355305487,-7.885294544934984,1,1
2016,WV,2,ALEX X MOONEY,-1,-10.333996319142294,-24.884778343799432,-27.4172376825259,1,1
2016,WV,3,EVAN JENKINS,-1,10.62710646104589,-6.570019396429789,-30.706276715768382,1,1
2018,AK,0,DON YOUNG,-1,-4.334769867663997,-2.50875421384546,-3.2657016543127995,0,1
2018,AL,2,MARTHA ROBY,-1,-3.7123162493423116,-3.2917571875852865,-26.36595473494086,0,1
2018,AL,3,MIKE ROGERS,-1,-0.42815648148621577,-0.8081359604132423,-2.777408034423221,0,1
2018,AL,5,MO BROOKS,-1,-6.780614102178756,-4.430414188216478,-4.215213879937902,0,1
2018,AL,6,GARY J PALMER,-1,-1.8364509303059862,2.0886781431348282,-0.025732492924536388,0,1
2018,AZ,1,TOM O'HALLERAN,1,2.9892496309095264,2.8691817298376723,11.935024629525703,1,1
2018,AZ,4,PAUL A GOSAR,-1,1.801958840735736,2.6237657532585814,-2.3323603412026266,0,1
2018,AZ,5,ANDY BIGGS,-1,2.2929987606313595,4.802973203099011,2.7551979567450005,1,1
2018,AZ,6,DAVID SCHWEIKERT,-1,5.7043195835244696,7.575458949479663,10.699883984225584,0,1
2018,CA,2,JARED HUFFMAN,1,-1.363321763934799,-0.7681503410580248,7.199913548462998,0,1
2018,CA,3,JOHN GARAMENDI,1,-3.2112422100746887,-1.389938972977614,8.224673376042604,0,1
2018,CA,4,TOM MCCLINTOCK,-1,-1.6259254018060059,-0.09472492451065051,6.671970156199537,0,1
2018,CA,7,AMI BERA,1,-8.008586868899751,-7.592226841965491,-6.876842119283971,0,1
2018,CA,9,JERRY MCNERNEY,1,-12.545535712084666,-10.591001667954623,-1.9305141620061814,0,1
2018,CA,10,JEFF DENHAM,-1,4.556233487617162,3.118502689988844,3.580230191272377,1,1
2018,CA,11,MARK DESAULNIER,1,-9.406600643491728,-8.071913114963152,-4.686852896867901,0,1
2018,CA,14,JACKIE SPEIER,1,-9.146161038839281,-6.082025804254826,3.0139264862589776,0,1
2018,CA,15,ERIC SWALWELL,1,-8.497040401726721,-5.921949040520751,1.9804086254485362,0,1
2018,CA,16,JIM COSTA,1,-13.657787411470814,-11.075225682737209,-3.799497026823314,0,1
2018,CA,18,ANNA G ESHOO,1,-13.721127294376998,-12.174769693289676,-11.535431923579136,0,1
2018,CA,19,ZOE LOFGREN,1,-12.806177378649025,-5.757012058902951,-3.5481136174940993,0,1
2018,CA,21,DAVID G VALADAO,-1,21.441058194519794,17.515350932174567,26.797335196565598,0,1
2018,CA,22,DEVIN NUNES,-1,1.2794021201286405,2.2083841926967356,22.086336074454184,0,1
2018,CA,23,KEVIN MCCARTHY,-1,9.946188280003184,11.793251073017661,11.98348312525762,0,1
2018,CA,24,SALUD CARBAJAL,1,-10.42958773411608,-10.459179589442012,-11.823472441931141,1,1
2018,CA,25,STEPHEN KNIGHT,-1,4.2697452310214405,4.534323694898166,10.383199344187261,0,1
2018,CA,26,JULIA BROWNLEY,1,-5.305434568706186,-5.035029714098133,0.44851520807298684,0,1
2018,CA,28,ADAM B SCHIFF,1,-1.8770049550011478,3.553044291501287,6.231295574655608,0,1
2018,CA,30,BRAD SHERMAN,1,-4.844191817457222,-0.6583562743136895,2.5083663309975854,0,1
2018,CA,31,PETE AGUILAR,1,-10.75317002679008,-8.423587430648098,-7.228146619248868,0,1
2018,CA,33,TED LIEU,1,-9.60627209452791,-6.79011689274293,-7.904525507487985,0,1
2018,CA,35,NORMA J TORRES,1,-10.199300652144622,-3.9412460165162386,4.665034583073531,0,1
2018,CA,36,RAUL RUIZ,1,2.9613265060355793,1.9653146060143492,17.91502136593323,0,1
2018,CA,38,LINDA T SANCHEZ,1,-10.112368938922948,-4.8188215967049715,2.019620358132098,0,1
2018,CA,41,MARK TAKANO,1,-5.316620265764385,-2.2537789791007086,3.2656130282236653,0,1
2018,CA,42,KEN CALVERT,-1,6.207181750017837,7.434664245737727,1.9738342281264387,0,1
2018,CA,43,MAXINE WATERS,1,-15.407467111111337,-10.271665408450744,-9.69849381162722,0,1
2018,CA,45,MIMI WALTERS,-1,7.497241330667554,9.07607316523968,19.83981343790886,0,1
2018,CA,47,ALAN S LOWENTHAL,1,-9.916458523505888,-5.578982112876005,-3.3056189843702626,0,1
2018,CA,48,DANA ROHRABACHER,-1,0.5693762190035674,-0.8939515281999499,15.433885271218635,1,1
2018,CA,50,DUNCAN HUNTER,-1,-6.6258260276708505,-3.9307984081306415,7.966788551312449,0,1
2018,CA,51,JUAN VARGAS,1,-15.261908810957877,-6.442175477602298,-3.27655640396161,0,1
2018,CA,52,SCOTT H PETERS,1,-2.1853013965440233,-3.811793150582787,-7.94926315027668,0,1
2018,CA,53,SUSAN A DAVIS,1,-4.8068031543968885,-3.3737607077505487,-0.057522257955266554,0,1
2018,CO,1,DIANA DEGETTE,1,-3.130705847539808,-4.347008307285044,-4.644581964709499,0,1
2018,CO,3,SCOTT R TIPTON,-1,1.201392300386063,3.5822712096423626,-1.045543388453737,0,1
2018,CO,4,KEN BUCK,-1,1.9145208311669535,5.072936497367241,5.299912055330125,0,1
2018,CO,5,DOUG LAMBORN,-1,-2.2955405192448133,2.9687367158577196,4.186383668702955,0,1
2018,CO,6,MIKE COFFMAN,-1,4.011264272519673,7.575348499286598,15.593629690130893,0,1
2018,CO,7,ED PERLMUTTER,1,7.006123632760081,3.148207328143446,5.994137098625481,0,1
2018,CT,1,JOHN B LARSON,1,-0.8421091818156725,-1.6458054017856298,9.887430053562547,0,1
2018,CT,2,JOE COURTNEY,1,18.436580903397147,15.684848764078605,30.468101279874567,0,1
2018,CT,3,ROSA L DELAURO,1,7.235921381454439,5.920853565628047,24.99097379047678,0,1
2018,CT,4,JAMES A HIMES,1,-7.353502884514555,-9.11871241117067,-1.0940949889558986,0,1
2018,DE,0,LISA BLUNT ROCHESTER,1,10.974011495102207,8.698822455404219,6.0373535723120035,1,1
2018,FL,1,MATT GAETZ,-1,-1.081783818041977,1.0853358522898304,-5.878289660121819,1,1
2018,FL,2,NEAL DUNN,-1,3.9725791567858053,3.358120007835133,-1.3531541757004142,1,1
2018,FL,3,TED S YOHO,-1,4.517747806996075,4.810219826149121,-2.1934793101767625,0,1
2018,FL,4,JOHN RUTHERFORD,-1,10.402151246683438,13.001514211076412,11.422063058836205,1,1
2018,FL,5,AL LAWSON,1,1.563980115763428,2.558573879510803,5.349090851101202,1,1
2018,FL,7,STEPHANIE MURPHY,1,1.8730887237417164,1.7580415820497937,-1.6749754606723952,1,1
2018,FL,8,BILL POSEY,-1,5.32291795982896,5.81839519269764,7.3944459464503325,0,1
2018,FL,9,DARREN SOTO,1,-3.1634997746989857,1.3514032155370757,4.641586903855348,1,1
2018,FL,11,DANIEL WEBSTER,-1,2.9719023701331437,2.3165118424327815,-1.3788688086101821,0,1
2018,FL,12,GUS M BILIRAKIS,-1,5.383149833796136,5.1804044548642345,14.834747550700786,0,1
2018,FL,13,CHARLIE CRIST,1,6.089305934397792,7.00929301641569,3.485024297870715,1,1
2018,FL,16,VERN BUCHANAN,-1,3.924529955215755,4.044202675850125,5.4585336079333935,0,1
2018,FL,18,BRIAN MAST,-1,5.023560382700392,4.194879653578102,-1.5691112450257325,1,1
2018,FL,19,FRANCIS ROONEY,-1,7.6550580257518845,7.5881114773749765,6.018759291129854,1,1
2018,FL,22,THEODORE E DEUTCH,1,2.025201406924765,3.984364234577523,4.727407421502168,0,1
2018,FL,23,DEBBIE WASSERMAN SCHULTZ,1,-8.768396836203316,-2.6780244688281343,-7.014415835797919,0,1
2018,FL,25,MARIO DIAZ-BALART,-1,24.929272908841227,12.955866333139143,19.863987030868813,0,1
2018,FL,26,CARLOS CURBELO,-1,20.869854222971604,8.350675372388956,26.258696242137578,0,1
2018,GA,2,SANFORD D BISHOP JR,1,1.5295777821539005,2.601016220434067,13.569531077728069,0,1
2018,GA,3,DREW FERGUSON,-1,4.47859579944717,6.619829487075712,1.2402392622241827,1,1
2018,GA,4,"HENRY C \""HANK\"" JOHNSON JR",1,-2.634471347055282,-3.67354048799654,-0.010445030424815371,0,1
2018,GA,7,ROB WOODALL,-1,-0.5531634589977177,4.6033563927470995,11.181851786610082,0,1
2018,GA,11,BARRY LOUDERMILK,-1,3.2989357181915473,7.222925049441304,5.648746161156325,0,1
2018,GA,12,RICK W ALLEN,-1,8.224533236399992,8.719859546497469,3.5911709551741104,0,1
2018,HI,2,TULSI GABBARD,1,13.912810962279785,17.547525232826857,30.380672406961583,0,1
2018,IA,1,ROD BLUM,-1,-3.080126544399139,-4.2737238937455775,0.9366311849729843,0,1
2018,IA,2,DAVID LOEBSACK,1,11.012404402449032,12.196652029471977,14.848997584702897,0,1
2018,IA,3,DAVID YOUNG,-1,-0.12030390146308978,0.3742642287062452,7.984884541480664,0,1
2018,IA,4,STEVE KING,-1,-19.73810476842501,-20.27102632338929,-9.391321696461642,0,1
2018,ID,2,MICHAEL K SIMPSON,-1,-2.092910791200932,-0.9199551233242396,3.9892955328220943,0,1
2018,IL,1,BOBBY L RUSH,1,-4.026750515326697,0.24264263154155685,-4.579797446541274,0,1
2018,IL,2,ROBIN L KELLY,1,-4.414779521235658,-1.2798711495487467,1.9683006394816083,0,1
2018,IL,5,MIKE QUIGLEY,1,-1.9011415152786242,0.6107508867724576,-4.013469182632189,0,1
2018,IL,6,PETER J ROSKAM,-1,6.2109080418936395,7.623673895968127,22.930502771473872,0,1
2018,IL,8,RAJA KRISHNAMOORTHI,1,3.1197188759586076,5.642189198797141,-3.320932716688425,1,1
2018,IL,9,JANICE D SCHAKOWSKY,1,-6.473261960964777,-3.5121385972205843,-11.599350417502013,0,1
2018,IL,10,BRAD SCHNEIDER,1,-5.764759517219865,-4.276308319623876,-22.85571336496824,1,1
2018,IL,11,BILL FOSTER,1,-3.105637011574771,-2.4181611845494793,-1.0125589912048483,0,1
2018,IL,12,MIKE BOST,-1,-3.3074076840178144,-4.105317623753116,-3.015707020096146,0,1
2018,IL,13,RODNEY DAVIS,-1,0.7689595313253612,0.5766140095420522,10.460416447806658,0,1
2018,IL,14,RANDY HULTGREN,-1,-3.3080689757271564,-1.3241389067316875,11.426451107491067,0,1
2018,IL,17,CHERI BUSTOS,1,19.063947388169474,20.836119782800353,24.372084758301707,0,1
2018,IL,18,DARIN LAHOOD,-1,11.260180271195619,12.13712574718621,12.183455183978687,1,1
2018,IN,2,JACKIE WALORSKI,-1,-8.779682004096111,-8.333439464666084,-4.105862633651892,0,1
2018,IN,3,JIM BANKS,-1,-1.4453462222010103,0.3402011229183799,10.845177649966455,1,1
2018,IN,5,SUSAN W BROOKS,-1,6.890135992564657,10.691565788723715,12.85864664563272,0,1
2018,IN,7,ANDRE CARSON,1,-0.09062164596720024,-0.8426636625745232,4.451326160945321,0,1
2018,IN,8,LARRY BUCSHON,-1,-0.5617520131166387,-0.5371732021773781,-4.731971794536516,0,1
2018,IN,9,TREY HOLLINGSWORTH,-1,-9.395232041556943,-8.648843254456283,-16.77864422516831,1,1
2018,KS,3,KEVIN YODER,-1,-2.75801152928236,0.6802536877403185,9.921252767657109,0,1
2018,KY,1,JAMES R COMER,-1,-7.320559229775348,-7.602887708652588,-8.091711935297635,1,1
2018,KY,3,JOHN A YARMUTH,1,4.161198946702752,2.2366330653117856,14.187780778222345,0,1
2018,KY,4,THOMAS MASSIE,-1,-3.55651499456037,-1.841036296475611,1.6394273313724348,0,1
2018,KY,6,ANDY BARR,-1,-7.139896239633215,-4.974492517531841,2.9065842027553224,0,1
2018,LA,1,STEVE SCALISE,-1,7.674632601336732,9.044066547976009,11.46704375906408,0,1
2018,LA,3,CLAY HIGGINS,-1,4.8866518097702425,4.023741966563627,16.893468132230492,1,1
2018,LA,4,"\""MIKE\"" JOHNSON",-1,12.454034601428368,11.037044166174685,36.891195088072436,1,1
2018,LA,6,GARRET GRAVES,-1,12.305380533533132,13.65072778782681,12.247551311342317,0,1
2018,MD,1,ANDY HARRIS,-1,-1.7903979284303944,1.8117116394478359,7.145591491126893,0,1
2018,MD,2,C A DUTCH RUPPERSBERGER,1,5.163583011594319,2.2184585568363246,7.942092557228538,0,1
2018,MD,3,JOHN P SARBANES,1,4.011573647128429,1.3428656717904275,1.148624494554106,0,1
2018,MD,4,ANTHONY G BROWN,1,-5.763929618668797,-5.236000991584916,-1.184636930394408,1,1
2018,MD,5,STENY H HOYER,1,5.2493714001234295,3.421140995961906,9.028778119259922,0,1
2018,MD,7,ELIJAH E CUMMINGS,1,-7.29744239109916,-6.687784581484209,-0.013022676106036357,0,1
2018,MD,8,JAMIE RASKIN,1,-3.2910103181650285,-4.5435220605368585,-5.168084756786762,1,1
2018,ME,1,CHELLIE PINGREE,1,7.10043111996883,4.454510893760673,3.2271990724504445,0,1
2018,ME,2,BRUCE POLIQUIN,-1,-6.322591413477127,-5.943143010426432,-4.544770190945298,0,1
2018,MI,1,JACK BERGMAN,-1,-4.039713782757298,-2.8777196254900073,-9.930318488760564,1,1
2018,MI,2,BILL HUIZENGA,-1,-0.29401227842351396,1.7334219854757524,9.889480985826022,0,1
2018,MI,3,JUSTIN AMASH,-1,7.359766341306473,9.41165303664311,9.604290430751687,0,1
2018,MI,4,JOHN R MOOLENAAR,-1,4.78801022965936,4.366978283217907,2.195530128731125,0,1
2018,MI,5,DANIEL T KILDEE,1,14.454276657723707,15.803539118162725,25.660312138734614,0,1
