date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2019-04-02,PA,SD-37,R,D,True,US House,4.0,-6.0,10.0,2016,2019
2019-04-16,CT,HD-19,D,D,False,US House,31.0,37.0,-6.0,2016,2019
2019-04-23,TN,SD-22,R,R,False,US House,-9.0,-22.0,13.0,2016,2019
2019-04-23,SC,HD-14,R,R,False,US House,-16.0,-38.0,22.0,2016,2019
2019-04-30,WI,AD-64,D,D,False,US House,25.0,10.0,14.0,2016,2019
2019-05-07,CT,HD-130,D,D,False,state legislature,43.0,77.0,-34.0,2016,2019
2019-05-21,PA,PA-12,R,R,False,US House,-36.0,-36.0,0.2,2016,2019
2019-05-21,PA,SD-33,R,R,False,US House,-37.0,-37.0,0.4,2016,2019
2019-05-21,PA,SD-41,R,R,False,US House,-31.0,-42.0,11.0,2016,2019
2019-05-21,PA,HD-11,R,R,False,US House,-15.0,-38.0,23.0,2016,2019
2019-06-04,CA,SD-33,D,D,False,US House,40.0,64.0,-24.0,2016,2019
2019-06-11,ME,HD-45,D,D,False,US House,23.0,23.0,-0.2,2016,2019
2019-06-18,FL,HD-38,R,R,False,US House,-11.0,-16.0,5.0,2016,2019
2019-06-18,FL,HD-07,R,R,False,US House,-43.0,-38.0,-4.0,2016,2019
2019-08-20,PA,HD-85,R,R,False,US House,-25.0,-33.0,8.0,2016,2019
2019-08-20,SC,HD-19,R,R,False,US House,-22.0,-25.0,3.0,2016,2019
2019-09-10,NC,NC-09,R,R,False,US House,-2.0,-12.0,10.0,2016,2019
2019-09-10,NC,NC-03,R,R,False,US House,-24.0,-24.0,-1.0,2016,2019
2019-10-08,NH,HD-Rockingham-09,R,R,False,state legislature,-4.0,-12.0,8.0,2016,2019
2019-11-05,AL,HD-42,R,R,False,US House,-77.0,,,2016,2019
2019-11-05,CA,AD-01,R,R,False,US House,-15.0,-21.0,6.0,2016,2019
2019-11-05,KY,HD-63,R,R,False,US House,-26.0,-30.0,4.0,2016,2019
2019-11-05,MO,HD-22,D,D,False,US House,70.0,69.0,2.0,2016,2019
2019-11-05,KY,HD-18,R,R,False,US House,-21.0,-52.0,31.0,2016,2019
2019-11-05,MO,HD-158,R,R,False,US House,-65.0,-60.0,-5.0,2016,2019
2019-11-05,NJ,SD-01,D,R,True,US House,-7.0,-9.0,2.0,2016,2019
2019-11-05,NY,SD-57,R,R,False,US House,-42.0,-30.0,-12.0,2016,2019
2019-11-05,WA,SD-40,D,D,False,US House,40.0,33.0,7.0,2016,2019
2019-11-05,WA,HD-13-2,R,R,False,state legislature,-49.0,-31.0,-18.0,2016,2019
2019-11-05,MO,HD-99,R,D,True,US House,8.0,-5.0,13.0,2016,2019
2019-11-12,AL,HD-74,R,R,False,US House,-37.0,,,2016,2019
2019-12-19,TN,HD-77,R,R,False,US House,-72.0,-58.0,-14.0,2016,2019
2020-01-14,PA,SD-48,R,R,False,US House,-29.0,-25.0,-4.0,2016,2020
2020-01-14,KY,SD-38,R,R,False,US House,-27.0,-39.0,12.0,2016,2020
2020-01-14,CT,HD-132,R,R,False,US House,-2.0,17.0,-19.0,2016,2020
2020-01-14,CT,HD-48,D,D,False,US House,5.0,2.0,3.0,2016,2020
2020-01-21,CT,HD-151,R,R,False,US House,-9.0,16.0,-25.0,2016,2020
2020-01-28,TX,HD-28,R,R,False,US House,-16.0,-10.0,-6.0,2016,2020
2020-01-28,TX,HD-148,D,D,False,US House,31.0,33.0,-2.0,2016,2020
2020-02-04,MN,HD-30A,R,R,False,state legislature,-27.0,-31.0,4.0,2016,2020
2020-02-25,KY,HD-67,D,D,False,US House,28.0,-5.0,33.0,2016,2020
2020-02-25,PA,HD-190,D,D,False,US House,73.0,93.0,-20.0,2016,2020
2020-02-25,KY,HD-99,D,R,True,US House,-11.0,-40.0,28.0,2016,2020
2020-03-03,MA,HD-Middlesex-32,D,D,False,state legislature,63.0,32.0,31.0,2016,2020
2020-03-03,ME,HD-128,D,D,False,US House,16.0,-8.0,24.0,2016,2020
2020-03-10,MI,HD-34,D,D,False,US House,84.0,73.0,11.0,2016,2020
2020-03-10,NH,HD-Merrimack-24,R,D,True,state legislature,2.0,-10.0,12.0,2016,2020
2020-03-17,PA,HD-08,R,R,False,US House,-50.0,-47.0,-3.0,2016,2020
2020-03-17,PA,HD-18,R,R,False,US House,-10.0,9.0,-19.0,2016,2020
2020-03-17,PA,HD-58,R,R,False,US House,-12.0,-29.0,17.0,2016,2020
2020-04-28,MD,MD-07,D,D,False,US House,49.0,56.0,-7.0,2016,2020
2020-05-12,CA,SD-28,R,R,False,US House,-11.0,-2.0,-9.0,2016,2020
2020-05-12,WI,WI-07,R,R,False,US House,-14.0,-20.0,6.0,2016,2020
2020-05-12,CA,CA-25,D,R,True,US House,-10.0,7.0,-16.0,2016,2020
