year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,pres_margin,winner_prev,winner_side_prev,incumbent_side,resid_raw
2018,NY,15,124469,5205,JOSE E SERRANO,D,"['GONZALEZ J', 'GONZALEZ J', 'SERRANO J', 'SERRANO J', 'WRITEIN']",91.97217638077024,True,90.0709219858156,JOSE E SERRANO,D,1,1.901254394954634
2018,NY,18,139564,112035,SEAN PATRICK MALONEY,D,"['DONNELL J', 'DONNELL J', 'DONNELL J', 'MALONEY S', 'MALONEY S', 'MALONEY S', 'MALONEY S', 'WRITEIN']",10.941617415013573,True,-1.9771071800208102,SEAN PATRICK MALONEY,D,1,12.918724595034384
2018,NY,19,147873,132873,ANTONIO DELGADO,D,"['DELGADO A', 'DELGADO A', 'DELGADO A', 'NEAL D', 'FASO J', 'FASO J', 'FASO J', 'FASO J', 'GREENFIELD S', 'WRITEIN']",5.342907824154218,True,-7.172995780590715,JOHN J FASO,R,-1,12.515903604744933
2018,NY,20,176811,89058,PAUL D TONKO,D,"['VITOLLO J', 'TONKO P', 'TONKO P', 'TONKO P', 'TONKO P', 'WRITEIN']",33.00610451011588,True,14.285714285714286,PAUL TONKO,D,1,18.720390224401598
2018,NY,21,99791,131981,ELISE M STEFANIK,R,"['STEFANIK E', 'STEFANIK E', 'STEFANIK E', 'STEFANIK E', 'KAHN L', 'COBB T', 'COBB T', 'COBB T', 'WRITEIN']",-13.888649189720933,True,-14.80298189563365,ELISE M STEFANIK,R,-1,0.9143327059127166
2018,NY,22,127715,123242,ANTHONY J BRINDISI,D,"['BRINDISI A', 'BRINDISI A', 'BRINDISI A', 'BRINDISI A', 'TENNEY C', 'TENNEY C', 'TENNEY C', 'WRITEIN']",1.7823770606119773,True,-16.471838469713074,CLAUDIA TENNEY,R,-1,18.25421553032505
2018,NY,23,109932,130323,THOMAS W REED II,R,"['REED T', 'REED T', 'REED T', 'MITRANO T', 'MITRANO T', 'MITRANO T', 'WRITEIN']",-8.487232315664606,True,-15.71125265392781,TOM REED,R,-1,7.2240203382632036
2018,NY,24,123226,136920,JOHN M KATKO,R,"['BALTER D', 'BALTER D', 'BALTER D', 'KATKO J', 'KATKO J', 'KATKO J', 'KATKO J', 'WRITEIN']",-5.2639671569042,True,3.821656050955416,JOHN KATKO,R,-1,-9.085623207859616
2018,NY,25,159244,110736,JOSEPH D MORELLE,D,"['MAXWELL J', 'MAXWELL J', 'MAXWELL J', 'MORELLE J', 'MORELLE J', 'MORELLE J', 'MORELLE J', 'WRITEIN']",17.967256833839542,True,17.33615221987315,LOUISE MCINTOSH SLAUGHTER,D,0,0.631104613966393
2018,NY,26,169166,61488,BRIAN HIGGINS,D,"['HIGGINS B', 'HIGGINS B', 'HIGGINS B', 'ZENO R', 'WRITEIN']",46.68377743286481,True,20.50209205020921,BRIAN HIGGINS,D,1,26.181685382655598
2018,NY,27,139059,140146,CHRIS COLLINS,R,"['COLLINS C', 'COLLINS C', 'COLLINS C', 'PIEGZA L', 'MCMURRAY N', 'MCMURRAY N', 'MCMURRAY N', 'WRITEIN']",-0.3893196755072438,True,-25.816649104320337,CHRIS COLLINS,R,-1,25.427329428813092
2018,OH,1,141118,154409,STEVE CHABOT,R,"['PUREVAL A', 'KUBALA D', 'CHABOT S', 'WRITEIN']",-4.497389409427903,True,-6.8893528183716075,STEVE CHABOT,R,-1,2.3919634089437043
2018,OH,2,119333,166714,BRAD WENSTRUP,R,"['WENSTRUP B', 'CONDIT J', 'SCHILLER J', 'WRITEIN']",-16.564061150789904,True,-16.858638743455494,BRAD R WENSTRUP,R,-1,0.2945775926655898
2018,OH,3,181575,65040,JOYCE BEATTY,D,"['BURGESS J', 'BEATTY J', 'WRITEIN']",47.25381667781765,True,40.16736401673641,JOYCE BEATTY,D,1,7.086452661081246
2018,OH,4,89412,167993,JIM JORDAN,R,"['GARRETT J', 'JORDAN J']",-30.528156018725355,True,-35.368421052631575,JIM JORDAN,R,-1,4.8402650339062205
2018,OH,5,99655,176569,BOB LATTA,R,"['LATTA B', 'KISSICK D', 'GALBRAITH J']",-27.844792632066728,True,-26.61717921527041,ROBERT E LATTA,R,0,-1.2276134167963164
2018,OH,6,76716,172774,BILL JOHNSON,R,"['JOHNSON B', 'ROBERTS S']",-38.501743556855985,True,-44.37499999999999,BILL JOHNSON,R,-1,5.873256443144008
2018,OH,7,107536,153117,BOB GIBBS,R,"['GIBBS B', 'HARBAUGH K']",-17.487233985413557,True,-31.164742917103887,BOB GIBBS,R,-1,13.67750893169033
2018,OH,8,87281,173852,WARREN DAVIDSON,R,"['ENOCH V', 'DAVIDSON W']",-33.1520719326933,True,-36.050156739811904,WARREN DAVIDSON,R,-1,2.8980848071186003
2018,OH,9,157219,74670,MARCY KAPTUR,D,"['KAPTUR M', 'KRAUS S', 'WRITEIN']",35.59849755702081,True,23.31932773109244,MARCY KAPTUR,D,1,12.279169825928374
2018,OH,10,118785,157554,MIKE TURNER,R,"['HARLOW D', 'TURNER M', 'GASPER T']",-14.029507235677917,True,-7.660020986358864,MICHAEL R TURNER,R,-1,-6.369486249319053
2018,OH,11,206138,44486,MARCIA L FUDGE,D,"['GOLDSTEIN B', 'FUDGE M', 'WRITEIN']",64.49980847803882,True,65.12820512820512,MARCIA L FUDGE,D,1,-0.6283966501663087
2018,OH,12,161251,175677,TROY BALDERSON,R,"['CONNOR D', 'MANCHIK J', 'BALDERSON T', 'WRITEIN']",-4.281626935131541,True,-11.882229232386967,PATRICK J TIBERI,R,0,7.600602297255426
2018,OH,13,153323,98047,TIM RYAN,D,"['DEPIZZO C', 'RYAN T']",21.98989537335402,True,6.792058516196447,TIM RYAN,D,1,15.197836857157572
2018,OH,14,137549,169809,DAVID P JOYCE,R,"['RADER B', 'JOYCE D']",-10.495903799478134,True,-12.016718913270637,DAVID P JOYCE,R,-1,1.5208151137925032
2018,OH,15,116112,170593,STEVE STIVERS,R,"['MILLER J', 'NEAL R', 'STIVERS S']",-19.002458973509356,True,-16.176470588235293,STEVE STIVERS,R,-1,-2.825988385274062
