race_id,office,state_po,district,special,race_type,incumbent,incumbent_party,inc_side,dem_candidate,rep_candidate,race_note,pres24,quality_diff,prior_edge,money_log_ratio,money_adj,quality_adj,poll_count,poll_avg,poll_weight,fundamentals_mean,margin_median,margin_p10,margin_p90,p_dem
governor-ri,GOV,RI,0,False,standard,Dan McKee,D,0,Helena Foulkes,Aaron Guckian,,14.162406267890672,0.0,,,0.0,0.0,3.0,43.782086270565785,0.6096675530005846,22.381255330817535,35.491113371369586,28.427202392831322,42.653910475512184,1.0
governor-sc,GOV,SC,0,False,standard,Henry McMaster,R,0,Jermaine Johnson,Alan Wilson,,-18.123365227038146,-1.0,,,0.0,-1.3813152796350254,2.0,-13.013968531328722,0.4669381531612866,-11.205319057419468,-12.059421015365448,-20.358171810149713,-3.809801285775292,0.031
governor-sd,GOV,SD,0,False,standard,Larry Rhoden,R,-1,Dan Ahlers,Larry Rhoden,,-29.890199073853058,-2.0,,,0.0,-0.03480560554512937,,,0.0,-26.986431016639422,-26.86464723076078,-37.91416609702137,-15.923845784036484,0.00075
governor-tn,GOV,TN,0,False,standard,Bill Lee,R,0,Jerri Green,Marsha Blackburn,,-30.121099654993333,-2.0,,,0.0,-0.18231122560602817,4.0,-15.837143905714893,0.5616516478825752,-22.271566813244387,-18.65150291487503,-26.14948117207519,-11.046461693929482,0.0009
governor-tx,GOV,TX,0,False,standard,Greg Abbott,R,-1,Gina Hinojosa,Greg Abbott,,-13.878067801618457,-2.0,-1.9361693870652523,,0.0,-2.9220600479217267,36.0,-2.6548389551074543,0.666246061914097,-12.325881238518573,-5.881579112113362,-12.37841834421025,0.604300820636336,0.1195
governor-vt,GOV,VT,0,False,standard,Phil Scott,R,-1,Amanda Janoo,Phil Scott,,32.77043577168019,-3.0,52.4168414249714,,0.0,-7.803240463352049,3.0,5.344244281912029,0.5928333177980234,-5.484879897341864,0.9123893626006592,-6.053601401417995,7.8586861776321415,0.56845
governor-wi,GOV,WI,0,False,standard,Tony Evers,D,0,David Crowley,Tom Tiffany,,-0.8733887823450505,-1.0,,,0.0,-1.822257387587172,9.0,3.9993085358801888,0.6435581878475862,5.702189657853784,4.661832746236037,-2.196264284946842,11.557517825070464,0.8073
governor-wy,GOV,WY,0,False,standard,Mark Gordon,R,0,Kenneth Casner,Eric Barlow,,-46.95834604821483,-1.0,,,0.0,-5.0647294181323e-05,,,0.0,-39.58891548827949,-39.642838723542,-50.62330217792383,-28.5204605058788,0.0
house-ak-al,HOUSE,AK,0,False,rcv_bloc,Nick Begich III,R,-1,Eric Hafner,Nick Begich III,,-13.69312508474994,0.0,-12.79293534846498,,0.0,0.0,2.0,-53.34684017766696,0.3460417064451374,-1.7172948296602601,-19.575735095875718,-26.117310676124177,-13.040692249166934,0.00015
house-al-1,HOUSE,AL,1,False,standard,None (new seat),,0,Clyde Jones Jr.,Jerry Carl,,-36.345566221179666,-2.0,,-2.431121173534253,-0.014393763900956586,-0.0,,,0.0,-28.533288287078996,-28.474130354290317,-37.73348560969532,-19.279367721582474,0.0001
house-al-2,HOUSE,AL,2,False,standard,Shomari Figures,D,1,Shomari Figures,Rhett Marques,,-14.464028814208385,1.0,1.1699237395080075,0.2395606374046885,0.3943106445557245,0.0,3.0,-5.433213693441244,0.3324530649872272,-1.32220640773186,-2.650445677668632,-9.387883079258069,3.92682652956622,0.30045
house-al-3,HOUSE,AL,3,False,standard,Mike Rogers,R,-1,Lee McInnis,Mike Rogers,,-47.07264752025102,-2.0,,-3.902197354795428,-2.399295997132258e-05,-0.0,,,0.0,-42.00886224118186,-41.86981800767214,-49.952165617710214,-33.88375552643569,0.0
house-al-4,HOUSE,AL,4,False,standard,Robert Aderholt,R,-1,Amanda Pusczek,Robert Aderholt,,-66.92238927771601,-2.0,,-4.105521583157128,-4.9787404519473254e-12,-0.0,,,0.0,-63.09221851764454,-63.01308348136088,-71.0938493594492,-55.005647115976544,0.0
house-al-5,HOUSE,AL,5,False,standard,Dale Strong,R,-1,Andrew Sneed,Dale Strong,,-29.494479149858233,-2.0,,-1.1794377138850516,-0.03950746444726542,-0.0,,,0.0,-23.78343310658949,-23.786279834583528,-31.757496732711726,-15.809598872349484,0.00015
house-al-6,HOUSE,AL,6,False,standard,Gary Palmer,R,-1,Maurice Mercer,Gary Palmer,,-34.997225548319264,-1.0,1.0473676362311188,-3.728361892596589,-0.025928590278421277,-0.0,,,0.0,-27.573222080513485,-27.43067457070766,-35.57747360318823,-19.495119500010386,0.0
house-al-7,HOUSE,AL,7,False,standard,Terri Sewell,D,1,Terri Sewell,Ammie Akin,,17.94825384375597,2.0,3.303870704402364,3.477072922003848,0.024083424717015876,0.0,,,0.0,27.763654511359327,27.770309487765736,19.845426261508344,35.7709278830588,1.0
house-ar-1,HOUSE,AR,1,False,standard,Rick Crawford,R,-1,Terri Green,Rick Crawford,,-46.175871865422906,-2.0,,-3.077293238149337,-4.1287282382727545e-05,-0.0,,,0.0,-41.06803545911569,-41.108940209957595,-49.06608613595783,-33.17378816601698,0.0
house-ar-2,HOUSE,AR,2,False,standard,French Hill,R,-1,Chris Jones,French Hill,,-15.914419225205982,-2.0,,-1.6006980168392992,-1.3998528980194758,-0.0,2.0,4.327724528560003,0.33731710537572773,-11.09587094102794,-5.929647936952573,-12.606851749053174,0.6719123049696185,0.12715
house-ar-3,HOUSE,AR,3,False,standard,Steve Womack,R,-1,Robb Ryerse,Steve Womack,,-25.590736769421778,-2.0,7.780870384743267,-3.2514994389466443,-0.20782039502465963,-0.0,,,0.0,-21.63542287726872,-21.6265165249661,-29.59175604446992,-13.740961844866803,0.00045
house-ar-4,HOUSE,AR,4,False,standard,Bruce Westerman,R,-1,James Russell,Bruce Westerman,,-40.66097964677422,-2.0,5.016003183648618,-5.377559988629998,-0.0007846899785551699,-0.0,,,0.0,-35.53300137026638,-35.618088744232864,-43.54183313294762,-27.633753155496976,0.0
house-az-1,HOUSE,AZ,1,False,standard,David Schweikert,,0,Amish Shah,Jay Feely,,-3.136835928138348,1.0,,-0.2158783661301358,-0.264868978448973,0.0,,,0.0,6.462344720581108,6.484286685206409,-2.646079860645016,15.883790217592196,0.8132
house-az-2,HOUSE,AZ,2,False,standard,Eli Crane,R,-1,Jonathan Nez,Eli Crane,,-15.120247407676915,-2.0,-6.302995900335549,-1.0425379600417812,-1.6401817318846585,-0.0,3.0,-6.962231384206696,0.3336984296238741,-4.714731426869797,-5.422002644024272,-12.06631477477519,1.2894582859587185,0.14965
house-az-3,HOUSE,AZ,3,False,same_party,Yassamin Ansari,D,1,Yassamin Ansari,,D,40.30739381027563,0.0,5.327483864787926,,,,,,,,,,,1.0
house-az-4,HOUSE,AZ,4,False,standard,Greg Stanton,D,1,Greg Stanton,Zuhdi Jasser,,6.762673080066313,2.0,0.8045497422793337,1.6958555434852682,0.4652454140097359,0.0,,,0.0,16.619275269577642,16.629001151033997,8.790071486074874,24.661632211892524,0.99645
house-az-5,HOUSE,AZ,5,False,standard,Andy Biggs,,0,Elizabeth Lee,Mark Lamb,,-20.192893032045866,-1.0,,-1.946264841600863,-1.2265831780971828,-0.0,,,0.0,-13.108846377259912,-13.120655668387517,-22.25264882155628,-3.8475240907593857,0.033
house-az-6,HOUSE,AZ,6,False,standard,Juan Ciscomani,R,-1,JoAnna Mendoza,Juan Ciscomani,,-0.7577863175811479,0.0,1.6702371442219517,0.0835124495755585,0.08619138372914763,0.0,3.0,-3.0952544028811984,0.2978019979213209,8.462322857793831,4.999167583658775,-1.71974960667579,11.865349201487826,0.82735
house-az-7,HOUSE,AZ,7,False,standard,Adelita Grijalva,D,1,Adelita Grijalva,Daniel Butierez,,22.388102593577123,2.0,,2.5027491242181448,0.0024900288632777982,0.0,,,0.0,32.715741393849065,32.76189296573974,24.703714874566305,40.54083061977915,1.0
house-az-8,HOUSE,AZ,8,False,standard,Abraham Hamadeh,R,-1,Bernadette Greene-Placentia,Abraham Hamadeh,,-16.479945618728582,-2.0,-3.624880365693684,-1.8431457459795928,-1.6378516883245884,-0.0,,,0.0,-11.214438984964717,-11.14655465495045,-19.17373098725363,-3.2452394244891956,0.0371
house-az-9,HOUSE,AZ,9,False,standard,Paul Gosar,R,-1,Dani Sterbinsky,Paul Gosar,,-31.342610456055603,-2.0,-0.8934956708994299,-0.6194512817681341,-0.028658443032037628,-0.0,,,0.0,-22.77231436463384,-22.79630717927909,-30.67392620986593,-14.84037112412523,0.0
house-ca-1,HOUSE,CA,1,False,standard,James Gallagher,R,-1,Mike McGuire,James Gallagher,,12.629463408737175,0.0,,-0.3709752082628805,-0.05380522262426091,0.0,,,0.0,18.72747329913541,18.770884349268805,10.864701082798721,26.667676144579815,0.99855
house-ca-2,HOUSE,CA,2,False,standard,Jared Huffman,D,1,Jared Huffman,Robin Littau,,25.44160337217163,0.0,-2.8769808670749804,,0.0,0.0,,,0.0,31.716534744141967,31.857994183163434,23.872391012959906,39.67250788411855,1.0
house-ca-3,HOUSE,CA,3,False,standard,Ami Bera,D,1,Ami Bera,Robb Tucker,,10.524576177817453,0.0,1.098650072357529,2.4227575970708752,0.281396811558719,0.0,,,0.0,19.895761700552807,19.88744119988891,11.96233043659182,27.98344008616559,0.999
house-ca-4,HOUSE,CA,4,False,same_party,Mike Thompson,D,1,Eric Jones; Mike Thompson,,D,14.94839647088782,0.0,0.8261410950481682,,,,,,,,,,,1.0
house-ca-5,HOUSE,CA,5,False,standard,Tom McClintock,R,-1,Michael Masuda,Tom McClintock,,-21.235866123925824,0.0,5.2301479455356095,-1.116225321104394,-0.345916960425612,0.0,,,0.0,-15.947315678296611,-15.89206243247822,-23.83325541990762,-7.9236817232178876,0.0048
house-ca-6,HOUSE,CA,6,False,independent,Kevin Kiley,,0,Richard Pan,,Kevin Kiley,8.682513359130274,0.0,,,0.0,0.0,1.0,5.405405405405405,0.47090676465304343,17.52635006366743,11.863262842366304,3.9753156759171575,19.737351550335035,0.9739
house-ca-7,HOUSE,CA,7,False,same_party,Doris Matsui,D,1,Doris Matsui; Mai Vang,,D,13.242240467285542,0.0,2.7352196194042016,,,,,,,,,,,1.0
house-ca-8,HOUSE,CA,8,False,standard,John Garamendi,D,1,John Garamendi,Rudy Recile,,35.16151506846601,0.0,3.103139051694537,3.0503884841823927,6.263510018937784e-06,0.0,,,0.0,44.250851797677306,44.206477108295516,36.19812970511303,52.09704811191228,1.0
house-ca-9,HOUSE,CA,9,False,standard,Josh Harder,D,1,Josh Harder,John McBride,,11.79306950489872,0.0,5.586190644784597,4.670436788171247,0.12220843696910168,0.0,,,0.0,23.265207195020484,23.311846395799087,15.321576704586407,31.383351275731936,0.99995
house-ca-10,HOUSE,CA,10,False,standard,Mark DeSaulnier,D,1,Mark DeSaulnier,Jeff Frese,,34.70519851744464,0.0,-1.8963582495612563,,0.0,0.0,,,0.0,41.16353139273212,41.20606009474645,33.308948987427655,49.24790009100212,1.0
house-ca-11,HOUSE,CA,11,False,same_party,Nancy Pelosi,,0,Connie Chan; Scott Wiener,,D,70.62364833844883,0.0,,,,,,,,,,,,1.0
house-ca-12,HOUSE,CA,12,False,same_party,Lateefah Simon,D,1,Jamie Joyce; Lateefah Simon,,D,77.64166603414307,0.0,,,,,,,,,,,,1.0
house-ca-13,HOUSE,CA,13,False,standard,Adam Gray,D,1,Adam Gray,Kevin Lincoln,,0.38467032128098666,0.0,5.779181913042241,0.8043669081225392,0.19090515279557246,0.0,,,0.0,16.97835441922799,17.047507806769158,8.903126651558807,24.865422874573067,0.99625
house-ca-14,HOUSE,CA,14,False,same_party,Aisha Wahab,D,1,Melissa Hernandez; Aisha Wahab,,D,36.20284739037839,0.0,,,,,,,,,,,,1.0
house-ca-15,HOUSE,CA,15,False,standard,Kevin Mullin,D,1,Kevin Mullin,Charles Hoelter,,49.63592027213561,0.0,-3.2969149999754315,3.630480023472267,5.018692866385849e-09,0.0,,,0.0,54.63296026012161,54.64125544431702,46.75497503352497,62.551607449801786,1.0
house-ca-16,HOUSE,CA,16,False,standard,Sam Liccardo,D,1,Sam Liccardo,Peter Soulé,,49.88409390678165,0.0,,4.988528402051517,1.5418512258211965e-10,0.0,,,0.0,59.04472325371754,59.02820012892725,51.197297647962976,66.96559976264919,1.0
house-ca-17,HOUSE,CA,17,False,standard,Ro Khanna,D,1,Ro Khanna,Ritesh Tandon,,40.74153179236477,0.0,-4.209898240760591,5.981583956134133,2.518511437469772e-06,0.0,,,0.0,45.70921165842171,45.82478109980053,37.92797399566299,53.5697712008616,1.0
house-ca-18,HOUSE,CA,18,False,standard,Zoe Lofgren,D,1,Zoe Lofgren,Shane Lewis,,29.36942888310379,0.0,-1.045632854833265,3.1881866791166984,0.00048789300413158135,0.0,,,0.0,36.48289671886208,36.60504341973359,28.6684819393517,44.40585110189459,1.0
house-ca-19,HOUSE,CA,19,False,standard,Jimmy Panetta,D,1,Jimmy Panetta,Peter Coe Verbica,,35.65620730686175,0.0,3.053076244517296,4.191912414695078,4.750490656154731e-06,0.0,,,0.0,44.698464425379285,44.72399712954815,36.866896418703675,52.543489547364686,1.0
house-ca-20,HOUSE,CA,20,False,standard,Vince Fong,R,-1,Sandra Van Scotter,Vince Fong,,-32.974775522914825,0.0,,-4.1835615831780615,-0.028154092789205654,0.0,,,0.0,-27.359372177323852,-27.363651332354102,-35.302160922750474,-19.448561351117817,0.0
house-ca-21,HOUSE,CA,21,False,standard,Jim Costa,D,1,Jim Costa,Kyle Kirkland,,6.132521905498509,0.0,1.392459275395964,1.4853933604826512,0.4290560804385449,0.0,,,0.0,16.35175413469741,16.419015860182256,8.350148381056016,24.375713224858224,0.99615
house-ca-22,HOUSE,CA,22,False,standard,David Valadao,R,-1,Randy Villegas,David Valadao,,-1.904550659129194,0.0,0.7409013769325101,-0.6509405274397485,-0.7220526733942341,0.0,1.0,-1.0521739130434788,0.30943671452611415,7.009468120983502,4.529545258791068,-2.1109813282598617,11.192759285353805,0.807
house-ca-23,HOUSE,CA,23,False,standard,Jay Obernolte,R,-1,Tessa Lynn Hodge,Jay Obernolte,,-19.916752765341304,0.0,2.769051207420901,-3.241198290602025,-1.5772632630929366,0.0,,,0.0,-14.511208455283509,-14.382369331614814,-22.315850140741816,-6.433866027954736,0.01065
house-ca-24,HOUSE,CA,24,False,standard,Salud Carbajal,D,1,Salud Carbajal,Bob Smith,,25.739617194559514,0.0,-0.2861052374268347,2.9525586745494854,0.002165009344828388,0.0,,,0.0,33.38028211076629,33.408439201250886,25.589359108358057,41.30473089083613,1.0
house-ca-25,HOUSE,CA,25,False,standard,Raul Ruiz,D,1,Raul Ruiz,Joe Males,,5.945627014024418,0.0,10.09328622531542,1.4155785256537825,0.13317305859248352,0.0,,,0.0,20.506465801563174,20.564448643921484,12.657901434748306,28.511860734636628,0.99965
house-ca-26,HOUSE,CA,26,False,standard,Julia Brownley,,0,Jacqui Irwin,Sam Gallucci,,15.718925391005014,0.0,,0.7479961898449257,0.023147480609470146,0.0,,,0.0,24.00605859247239,24.07251092867431,14.83249984893714,33.20495344039001,0.9994
house-ca-27,HOUSE,CA,27,False,standard,George T. Whitesides,,0,George Whitesides,Jason Gibbs,,10.031526860467544,0.0,,2.423998442454749,0.357195197811053,0.0,,,0.0,19.07752247617532,19.048888602191422,9.866046265452498,28.26156897684,0.9965
house-ca-28,HOUSE,CA,28,False,standard,Judy Chu,D,1,Judy Chu,April Verlato,,26.1481226056064,0.0,2.185752956131104,4.935587316381753,0.0009778549451963444,0.0,,,0.0,35.08442071661941,35.14476521764887,27.25236406161962,43.08998157364915,1.0
house-ca-29,HOUSE,CA,29,False,same_party,Luz Rivas,D,1,Angelica Dueñas; Luz Rivas,,D,34.707532916037124,0.0,3.749389564909816,,,,,,,,,,,1.0
house-ca-30,HOUSE,CA,30,False,standard,Laura Friedman,D,1,Laura Friedman,Scott Meyers,,41.437251814842114,0.0,-5.544661844823086,2.6770151994822355,2.1102448938396072e-07,0.0,,,0.0,49.29472056809985,49.383223851803535,41.40622227905647,57.256548431295144,1.0
house-ca-31,HOUSE,CA,31,False,standard,Gil Cisneros,D,1,Gil Cisneros,Eric Ching,,12.60519627223948,0.0,2.160768426909488,1.593293315234828,0.027225824195751754,0.0,,,0.0,25.731288210970032,25.704127395398864,17.809824231231755,33.687233073711575,1.0
house-ca-32,HOUSE,CA,32,False,standard,Brad Sherman,D,1,Brad Sherman,Larry Thompson,,25.747546353027406,0.0,0.314681043133536,4.698073235406674,0.0018897718869952795,0.0,,,0.0,33.70609653743031,33.74544459325038,25.79216819284129,41.66389566051594,1.0
house-ca-33,HOUSE,CA,33,False,standard,Pete Aguilar,D,1,Pete Aguilar,Stephanie Vargas,,10.074713405340932,0.0,8.813375340987976,,0.0,0.0,,,0.0,23.299991132449993,23.347937576288267,15.424571360318877,31.324864621217117,0.9999
house-ca-34,HOUSE,CA,34,False,same_party,Jimmy Gomez,D,1,Jimmy Gomez; Angela Gonzales-Torres,,D,53.04146587963031,0.0,,,,,,,,,,,,1.0
house-ca-35,HOUSE,CA,35,False,standard,Norma Torres,D,1,Norma Torres,Mike Cargile,,8.045128888677315,0.0,6.35320911222296,3.609995347246432,0.2958375297921217,0.0,,,0.0,20.502037960133627,20.567224006704542,12.632886875342022,28.41799632358138,0.9995
house-ca-36,HOUSE,CA,36,False,standard,Ted Lieu,D,1,Ted Lieu,Houston Brignano,,40.42823555904659,0.0,-2.851682087517009,4.496240124520736,1.925254690609559e-06,0.0,,,0.0,46.13037809857367,46.14656223917042,38.372949018540716,53.99113048711936,1.0
house-ca-37,HOUSE,CA,37,False,same_party,Sydney Kamlager-Dove,D,1,Sydney Kamlager-Dove; Samantha Mota,,D,62.30874203046086,0.0,,,,,,,,,,,,1.0
house-ca-38,HOUSE,CA,38,False,standard,None (new seat),,0,Hilda Solis,Pedro Casas,,12.742118430048967,0.0,,,0.0,0.0,,,0.0,21.185460075705148,21.33202435955656,12.024546872636888,30.383899405909684,0.9979
house-ca-39,HOUSE,CA,39,False,standard,Mark Takano,D,1,Mark Takano,Steve Manos,,9.780058137498687,0.0,3.51322161047449,,0.0,0.0,,,0.0,20.22816575073149,20.247422653811196,12.283589556403884,28.290747417104473,0.9992
house-ca-40,HOUSE,CA,40,False,same_party,Young Kim,R,-1,,Ken Calvert; Young Kim,R,-12.603878865212948,0.0,7.995811748236605,,,,,,,,,,,0.0
house-ca-41,HOUSE,CA,41,False,standard,Linda Sánchez,D,1,Linda Sánchez,Mitch Clemmons,,14.644434716860998,0.0,3.207455603468404,4.411924565984419,0.07710010593519435,0.0,,,0.0,24.611324482017732,24.64873893750657,16.71711699554751,32.522781715605014,1.0
house-ca-42,HOUSE,CA,42,False,standard,Robert Garcia,D,1,Robert Garcia,Brian Burley,,13.56070313007434,0.0,2.750334817858711,2.469245206024792,0.09642110103574131,0.0,,,0.0,23.370657058557693,23.410748443487414,15.367994679657679,31.401559729224832,0.99995
house-ca-43,HOUSE,CA,43,False,standard,Maxine Waters,D,1,Maxine Waters,Cristian Morales,,50.587898039106896,0.0,-0.327139926819914,,0.0,0.0,,,0.0,57.105756306221394,57.15498101201139,49.152264691773425,65.07459574646491,1.0
house-ca-44,HOUSE,CA,44,False,standard,Nanette Barragán,D,1,Nanette Barragán,Genevieve Angel,,36.31627653527624,0.0,7.974155321692162,4.177481670150154,5.907378644163107e-07,0.0,,,0.0,47.93891103519653,47.96008325338474,40.310648419362906,55.883684494702145,1.0
house-ca-45,HOUSE,CA,45,False,standard,Derek Tran,D,1,Derek Tran,Chuong Vo,,4.054985173885471,0.0,-1.2963819092444335,2.4415500370827883,0.6429583148843261,0.0,,,0.0,16.978402234272437,17.00024716855043,9.00779957247386,24.868187051811898,0.99645
