year,office,state_po,district,special,asof,outlet,p_dem,rating,rating_them,actual
2018,HOUSE,FL,22,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,24.04739269625743
2018,HOUSE,FL,23,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,23.812807164718816
2018,HOUSE,FL,25,False,sep22,FiveThirtyEight (model),0.0767,Likely R,Lean R,-20.90676313749442
2018,HOUSE,FL,26,False,sep22,FiveThirtyEight (model),0.75975,Lean D,Toss-up,1.7492302792228474
2018,HOUSE,FL,27,False,sep22,FiveThirtyEight (model),0.9941,Safe D,Likely D,6.152291023054346
2018,HOUSE,GA,1,False,sep22,FiveThirtyEight (model),0.0187,Safe R,Safe R,-15.477315972762414
2018,HOUSE,GA,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,19.298689624778003
2018,HOUSE,GA,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-31.05260643126762
2018,HOUSE,GA,4,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,57.69383918091195
2018,HOUSE,GA,6,False,sep22,FiveThirtyEight (model),0.7956,Lean D,Likely R,1.0296075252197063
2018,HOUSE,GA,7,False,sep22,FiveThirtyEight (model),0.14025,Likely R,Lean R,-0.1494075402669367
2018,HOUSE,GA,9,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-59.01094584408277
2018,HOUSE,GA,10,False,sep22,FiveThirtyEight (model),5e-05,Safe R,Safe R,-25.783936446066694
2018,HOUSE,GA,11,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-23.58279126682553
2018,HOUSE,GA,12,False,sep22,FiveThirtyEight (model),0.0133,Safe R,Safe R,-18.956121825708912
2018,HOUSE,GA,13,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,52.36875975105576
2018,HOUSE,GA,14,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-53.00360432519023
2018,HOUSE,HI,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,52.01978007090117
2018,HOUSE,HI,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,54.72463797376351
2018,HOUSE,IA,1,False,sep22,FiveThirtyEight (model),0.8598,Likely D,Safe D,5.219529068761891
2018,HOUSE,IA,2,False,sep22,FiveThirtyEight (model),0.99865,Safe D,Safe D,12.522109518824676
2018,HOUSE,IA,3,False,sep22,FiveThirtyEight (model),0.08545,Likely R,Toss-up,2.2437604598704795
2018,HOUSE,IA,4,False,sep22,FiveThirtyEight (model),0.0005,Safe R,Likely R,-3.420546893959767
2018,HOUSE,ID,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.21010653642908
2018,HOUSE,ID,2,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-21.34043576633233
2018,HOUSE,IL,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,57.62514551804424
2018,HOUSE,IL,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,62.11110686033216
2018,HOUSE,IL,3,False,sep22,FiveThirtyEight (model),0.9999,Safe D,Safe D,47.600684354886894
2018,HOUSE,IL,4,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,73.17030609727479
2018,HOUSE,IL,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,53.33003733081117
2018,HOUSE,IL,6,False,sep22,FiveThirtyEight (model),0.5442,Toss-up,Lean R,7.150510705477324
2018,HOUSE,IL,7,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,75.2301588268499
2018,HOUSE,IL,8,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,31.94945390535036
2018,HOUSE,IL,9,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,46.97245747388506
2018,HOUSE,IL,10,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,31.180236650688837
2018,HOUSE,IL,11,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,27.68160165082432
2018,HOUSE,IL,12,False,sep22,FiveThirtyEight (model),0.066,Likely R,Toss-up,-6.372038736948361
2018,HOUSE,IL,13,False,sep22,FiveThirtyEight (model),0.0956,Likely R,Lean R,-0.7594824595717671
2018,HOUSE,IL,14,False,sep22,FiveThirtyEight (model),0.2691,Lean R,Lean R,5.003718047503525
2018,HOUSE,IL,15,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-41.85592500870491
2018,HOUSE,IL,16,False,sep22,FiveThirtyEight (model),0.0064,Safe R,Safe R,-18.248945560016104
2018,HOUSE,IL,17,False,sep22,FiveThirtyEight (model),0.99955,Safe D,Safe D,24.186829975320894
2018,HOUSE,IL,18,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.46689063288186
2018,HOUSE,IN,1,False,sep22,FiveThirtyEight (model),0.99985,Safe D,Safe D,30.18576293305601
2018,HOUSE,IN,2,False,sep22,FiveThirtyEight (model),0.00325,Safe R,Likely R,-9.672204210397531
2018,HOUSE,IN,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-29.452587593723145
2018,HOUSE,IN,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-28.120050907870667
2018,HOUSE,IN,5,False,sep22,FiveThirtyEight (model),0.0102,Safe R,Safe R,-13.52336392613588
2018,HOUSE,IN,6,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-32.02105353245753
2018,HOUSE,IN,7,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,29.725730252394342
2018,HOUSE,IN,8,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-28.859434035637825
2018,HOUSE,IN,9,False,sep22,FiveThirtyEight (model),0.0016,Safe R,Lean R,-12.964648567775033
2018,HOUSE,KS,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-36.29095441595442
2018,HOUSE,KS,2,False,sep22,FiveThirtyEight (model),0.0637,Likely R,Toss-up,-0.8957540696999884
2018,HOUSE,KS,3,False,sep22,FiveThirtyEight (model),0.7826,Lean D,Toss-up,9.912337243779811
2018,HOUSE,KS,4,False,sep22,FiveThirtyEight (model),0.0005,Safe R,Likely R,-18.87281462588538
2018,HOUSE,KY,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-37.17611626350512
2018,HOUSE,KY,2,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-36.45177697247123
2018,HOUSE,KY,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,25.850755823258115
2018,HOUSE,KY,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-28.566130928428844
2018,HOUSE,KY,5,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-57.89579921370015
2018,HOUSE,KY,6,False,sep22,FiveThirtyEight (model),0.041,Safe R,Lean R,-3.252630312428978
2018,HOUSE,LA,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-45.833017767612354
2018,HOUSE,LA,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-38.501745028315554
2018,HOUSE,LA,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-31.278620559690943
2018,HOUSE,LA,5,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-37.89280823185402
