outlet,races,ours_called,theirs_called,ours_tossups,theirs_tossups,ours_brier,theirs_brier,both_picked,ours_right_both,theirs_right_both,disagreed,ours_won_disagreements,their_tossups_we_picked,ours_right_on_their_tossups,asof,subset,years,offices
New York Times,33,0.9242424242424242,0.8333333333333334,3,9,0.05639146227272727,,23,1.0,0.9565217391304348,1,1,7,0.8571428571428571,eve,all,2018,SEN
New York Times,17,0.8529411764705882,0.7352941176470589,3,9,0.10942977647058823,,7,1.0,1.0,0,0,7,0.8571428571428571,eve,competitive,2018,SEN
Politico,939,0.9510117145899893,0.9440894568690096,26,79,0.03438606580138445,,853,0.984759671746776,0.9871043376318874,8,3,60,0.6666666666666666,eve,all,"2018,2020,2022","GOV,HOUSE,SEN"
Politico,355,0.8704225352112676,0.8549295774647887,26,79,0.09092524494366197,,269,0.9516728624535316,0.9628252788104089,7,2,60,0.6666666666666666,eve,competitive,"2018,2020,2022","GOV,HOUSE,SEN"
RealClearPolitics,1101,0.9386920980926431,0.9055404178019982,37,158,0.04245773087647593,,933,0.9828510182207931,0.9807073954983923,8,5,131,0.7480916030534351,eve,all,"2018,2020,2022,2024","GOV,HOUSE,SEN"
RealClearPolitics,431,0.8433874709976799,0.7610208816705336,37,158,0.10839782513341066,,263,0.9391634980988594,0.935361216730038,7,4,131,0.7480916030534351,eve,competitive,"2018,2020,2022,2024","GOV,HOUSE,SEN"
Red Racing Horses,128,0.859375,0.859375,6,0,0.09825888537109376,,122,0.8770491803278688,0.860655737704918,20,11,0,,eve,all,2018,HOUSE
Red Racing Horses,110,0.8454545454545455,0.8454545454545455,6,0,0.10531711527272727,,104,0.8653846153846154,0.8461538461538461,20,11,0,,eve,competitive,2018,HOUSE
Sabato's Crystal Ball,1302,0.9554531490015361,0.9527649769585254,36,31,0.03083363368471582,,1239,0.9757869249394673,0.9749798224374495,21,11,27,0.6296296296296297,eve,all,"2018,2020,2022,2024","GOV,HOUSE,SEN"
Sabato's Crystal Ball,350,0.8342857142857143,0.8271428571428572,36,31,0.11456448305000001,,287,0.8954703832752613,0.8954703832752613,20,10,27,0.6296296296296297,eve,competitive,"2018,2020,2022,2024","GOV,HOUSE,SEN"
The Economist,406,0.9445812807881774,0.9347290640394089,15,29,0.03538419517241379,,370,0.981081081081081,0.972972972972973,3,3,21,0.6190476190476191,eve,all,"2020,2022,2024","HOUSE,SEN"
The Economist,121,0.8140495867768595,0.78099173553719,15,29,0.11864501303719008,,85,0.9176470588235294,0.8823529411764706,3,3,21,0.6190476190476191,eve,competitive,"2020,2022,2024","HOUSE,SEN"
